Date,M3,M6,YR1,YR2,YR3,YR4,YR5,YR6,YR7,YR8,YR9,YR10,YR15,YR20,YR30
31/12/1994,6.801,7.384,8.172,8.734,8.988,9.097,9.188,9.265,9.346,9.356,9.368,9.382,9.357,9.345,9.332
31/01/1995,6.917,7.254,7.976,8.447,8.782,8.902,9.017,9.092,9.172,9.167,9.163,9.162,9.141,9.13,9.119
28/02/1995,6.864,7.305,7.972,8.556,8.867,8.975,9.09,9.165,9.246,9.25,9.257,9.265,9.241,9.229,9.217
31/03/1995,6.864,7.246,7.816,8.365,8.71,8.818,8.933,9.021,9.115,9.133,9.154,9.178,9.148,9.133,9.118
30/04/1995,7.123,7.378,7.905,8.318,8.584,8.718,8.796,8.886,8.98,8.999,9.021,9.045,9.018,9.004,8.99
31/05/1995,6.799,6.99,7.385,7.622,7.899,8.081,8.207,8.307,8.413,8.426,8.442,8.459,8.433,8.419,8.406
30/06/1995,7.123,7.312,7.709,8.031,8.355,8.571,8.685,8.792,8.905,8.946,8.99,9.039,8.999,8.98,8.96
31/07/1995,7.058,7.121,7.318,7.59,7.936,8.163,8.325,8.45,8.581,8.654,8.731,8.813,8.762,8.737,8.711
31/08/1995,6.969,7.041,7.107,7.339,7.683,7.934,8.169,8.298,8.434,8.515,8.601,8.692,8.636,8.608,8.58
30/09/1995,6.945,6.992,6.993,7.159,7.605,7.937,8.145,8.299,8.461,8.545,8.634,8.729,8.668,8.638,8.607
31/10/1995,6.929,6.929,6.953,7.107,7.463,7.678,7.888,8.063,8.245,8.343,8.447,8.557,8.495,8.463,8.431
30/11/1995,6.694,6.543,6.525,6.555,6.886,7.17,7.39,7.594,7.806,7.93,8.06,8.197,8.126,8.09,8.055
31/12/1995,6.67,6.543,6.476,6.492,6.812,7.05,7.258,7.449,7.648,7.772,7.902,8.039,7.973,7.939,7.905
31/01/1996,6.412,6.34,6.242,6.467,6.82,7.09,7.273,7.495,7.727,7.864,8.007,8.159,8.084,8.045,8.007
29/02/1996,6.283,6.26,6.349,6.852,7.304,7.607,7.826,8.062,8.309,8.441,8.581,8.73,8.644,8.601,8.558
31/03/1996,6.219,6.282,6.544,7.158,7.622,7.914,8.121,8.306,8.501,8.617,8.739,8.87,8.793,8.754,8.716
30/04/1996,6.162,6.217,6.48,7.031,7.439,7.696,7.904,8.089,8.283,8.403,8.531,8.665,8.591,8.553,8.516
31/05/1996,6.219,6.282,6.544,7.147,7.589,7.893,8.075,8.248,8.429,8.55,8.678,8.814,8.738,8.7,8.663
30/06/1996,5.961,5.961,6.222,6.793,7.267,7.569,7.775,7.952,8.138,8.258,8.384,8.518,8.444,8.406,8.369
31/07/1996,5.905,5.96,6.181,6.773,7.235,7.561,7.803,7.979,8.165,8.288,8.419,8.558,8.481,8.442,8.404
31/08/1996,5.897,5.898,6.1,6.668,7.119,7.456,7.71,7.905,8.11,8.256,8.411,8.575,8.489,8.445,8.402
30/09/1996,6.042,6.106,6.35,6.778,7.107,7.365,7.585,7.763,7.949,8.055,8.166,8.284,8.219,8.186,8.153
31/10/1996,6.38,6.518,6.803,7.116,7.369,7.559,7.697,7.815,7.938,8.016,8.097,8.183,8.137,8.114,8.091
30/11/1996,6.534,6.718,7.087,7.213,7.345,7.422,7.503,7.587,7.673,7.745,7.819,7.896,7.863,7.846,7.83
31/12/1996,6.548,6.751,7.051,7.156,7.265,7.377,7.493,7.612,7.736,7.865,7.998,8.138,8.083,8.056,8.028
31/01/1997,6.33,6.47,6.817,6.937,7.061,7.189,7.32,7.456,7.597,7.744,7.896,8.055,7.993,7.962,7.931
28/02/1997,6.25,6.41,6.691,6.797,6.906,7.019,7.135,7.254,7.378,7.506,7.639,7.777,7.725,7.699,7.672
31/03/1997,6.402,6.637,7.005,7.133,7.266,7.403,7.544,7.69,7.842,7.999,8.164,8.336,8.267,8.232,8.198
30/04/1997,6.562,6.745,7.067,7.161,7.258,7.358,7.461,7.568,7.678,7.792,7.911,8.035,7.987,7.963,7.938
31/05/1997,6.625,6.81,7.066,7.136,7.209,7.284,7.361,7.44,7.522,7.607,7.696,7.787,7.752,7.735,7.717
30/06/1997,6.902,7.058,7.316,7.346,7.376,7.408,7.441,7.475,7.51,7.546,7.584,7.623,7.608,7.601,7.593
31/07/1997,7.125,7.308,7.503,7.519,7.495,7.484,7.472,7.472,7.473,7.46,7.46,7.46,7.367,7.376,7.385
31/08/1997,7.312,7.46,7.627,7.61,7.554,7.543,7.556,7.569,7.569,7.569,7.583,7.597,7.531,7.535,7.539
30/09/1997,7.309,7.437,7.576,7.407,7.142,6.975,6.899,6.88,6.885,6.889,6.906,6.922,6.988,6.986,6.983
31/10/1997,7.375,7.438,7.564,7.418,7.242,7.153,7.11,7.064,7.017,7.008,7.011,7.014,7.053,7.055,7.057
30/11/1997,7.75,7.867,7.927,7.705,7.473,7.34,7.226,7.122,7.053,7.021,7.014,6.977,6.983,6.994,7.006
31/12/1997,7.688,7.688,7.688,7.391,7.15,7.075,6.997,6.904,6.872,6.825,6.804,6.795,6.781,6.791,6.802
31/01/1998,7.562,7.535,7.46,7.152,6.934,6.814,6.761,6.705,6.659,6.599,6.564,6.556,6.528,6.539,6.551
28/02/1998,7.563,7.563,7.563,7.332,7.112,6.991,6.89,6.81,6.753,6.681,6.634,6.599,6.577,6.592,6.607
31/03/1998,7.613,7.613,7.613,7.319,7.078,6.923,6.765,6.627,6.536,6.48,6.448,6.387,6.357,6.375,6.393
30/04/1998,7.496,7.473,7.437,7.057,6.796,6.643,6.532,6.443,6.388,6.381,6.36,6.297,6.244,6.26,6.275
31/05/1998,7.5,7.5,7.5,7.12,6.847,6.66,6.515,6.403,6.3,6.257,6.225,6.192,6.144,6.161,6.179
30/06/1998,7.867,7.936,8.001,7.713,7.437,7.19,6.986,6.778,6.652,6.548,6.428,6.4,6.196,6.234,6.272
31/07/1998,7.762,7.812,7.812,7.504,7.235,7.075,6.881,6.684,6.533,6.378,6.299,6.257,6.111,6.144,6.178
31/08/1998,7.625,7.572,7.371,7.015,6.853,6.744,6.643,6.528,6.422,6.353,6.268,6.195,6.124,6.146,6.169
30/09/1998,7.371,7.226,6.932,6.511,6.379,6.305,6.274,6.17,6.101,6.017,5.971,5.949,5.898,5.912,5.927
31/10/1998,7.175,6.907,6.555,6.13,6.108,6.1,6.102,6.092,6.068,6.069,6.044,6.046,5.993,5.999,6.005
30/11/1998,6.878,6.664,6.374,6.078,5.978,5.942,5.818,5.68,5.661,5.579,5.571,5.589,5.504,5.517,5.53
31/12/1998,6.253,5.949,5.624,5.519,5.521,5.51,5.477,5.478,5.418,5.407,5.383,5.372,5.351,5.356,5.36
31/01/1999,5.813,5.628,5.501,5.281,5.191,5.144,5.095,5.092,5.093,5.07,5.097,5.084,5.128,5.088,5.177
28/02/1999,5.459,5.363,5.35,5.365,5.387,5.37,5.336,5.336,5.325,5.153,5.144,5.356,5.406,5.384,5.399
31/03/1999,5.324,5.25,5.25,5.236,5.334,5.366,5.376,5.364,5.381,5.387,5.386,5.386,5.426,5.438,5.453
30/04/1999,5.331,5.324,5.371,5.508,5.588,5.581,5.511,5.476,5.429,5.418,5.407,5.421,5.439,5.44,5.46
31/05/1999,5.373,5.356,5.449,5.755,5.971,5.983,5.968,5.918,5.869,5.844,5.806,5.781,5.802,5.788,5.772
30/06/1999,5.188,5.256,5.502,6.026,6.356,6.422,6.427,6.398,6.283,6.142,6.034,5.938,5.806,5.713,5.59
31/07/1999,5.27,5.547,5.814,6.352,6.656,6.688,6.622,6.571,6.494,6.405,6.341,6.249,5.897,5.737,5.372
31/08/1999,5.218,5.613,5.915,6.582,6.838,6.8,6.683,6.633,6.545,6.483,6.38,6.33,5.893,5.535,5.277
30/09/1999,5.56,6.013,6.359,6.838,7.138,7.146,7.093,7.028,6.944,6.893,6.78,6.694,6.444,6.076,5.612
31/10/1999,6,6.146,6.513,6.913,7.133,7.169,7.068,6.968,6.855,6.749,6.636,6.514,6.129,5.758,5.297
30/11/1999,5.999,6.138,6.548,6.968,7.177,7.149,7.018,6.895,6.746,6.61,6.443,6.31,5.919,5.524,5.064
31/12/1999,6.079,6.292,6.713,7.132,7.139,7.038,7.088,7.001,6.893,6.792,6.689,6.592,6.101,6.086,5.247
31/01/2000,6.229,6.424,6.848,7.19,7.283,7.317,7.258,7.177,7.073,6.993,6.909,6.809,6.46,6.047,5.585
29/02/2000,6.254,6.434,6.775,6.94,7.022,6.962,6.868,6.783,6.691,6.593,6.513,6.42,6.114,5.743,5.326
31/03/2000,6.252,6.467,6.813,7.047,7.087,7.032,6.936,6.828,6.73,6.618,6.518,6.429,6.059,5.752,5.415
30/04/2000,6.365,6.479,6.706,6.835,6.902,6.866,6.806,6.744,6.684,6.621,6.56,6.489,6.255,5.948,5.572
31/05/2000,6.279,6.429,6.698,6.876,6.918,6.864,6.817,6.754,6.695,6.631,6.57,6.527,6.34,6.075,5.643
30/06/2000,6.225,6.336,6.544,6.647,6.706,6.693,6.674,6.649,6.612,6.574,6.549,6.523,6.34,6.103,5.786
31/07/2000,6.226,6.342,6.534,6.648,6.701,6.716,6.715,6.689,6.664,6.638,6.599,6.572,6.352,6.083,5.678
31/08/2000,6.247,6.365,6.559,6.657,6.7,6.704,6.715,6.701,6.688,6.662,6.636,6.609,6.415,6.141,5.73
30/09/2000,6.178,6.268,6.381,6.417,6.449,6.465,6.465,6.44,6.427,6.415,6.402,6.389,6.238,5.997,5.679
31/10/2000,6.146,6.212,6.306,6.377,6.398,6.38,6.356,6.332,6.308,6.283,6.258,6.232,6.031,5.768,5.451
30/11/2000,6.035,6.039,6.04,6.001,6.024,6.029,6.029,5.993,5.956,5.92,5.882,5.844,5.615,5.351,5.055
31/12/2000,5.899,5.865,5.809,5.764,5.852,5.89,5.912,5.923,5.91,5.884,5.857,5.831,5.624,5.369,5.083
31/01/2001,5.791,5.674,5.582,5.644,5.742,5.802,5.811,5.81,5.796,5.783,5.757,5.744,5.591,5.395,5.167
28/02/2001,5.647,5.556,5.493,5.541,5.627,5.665,5.71,5.732,5.769,5.767,5.765,5.764,5.663,5.592,5.227
31/03/2001,5.526,5.369,5.279,5.298,5.353,5.408,5.452,5.486,5.521,5.544,5.567,5.592,5.597,5.526,5.295
30/04/2001,5.34,5.246,5.214,5.396,5.562,5.67,5.741,5.797,5.842,5.881,5.913,5.933,5.919,5.819,5.596
31/05/2001,5.254,5.251,5.365,5.615,5.743,5.796,5.84,5.879,5.907,5.936,5.979,5.989,5.978,5.855,5.68
30/06/2001,5.294,5.431,5.704,6.018,6.098,6.095,6.11,6.097,6.09,6.086,6.072,6.059,6.013,5.882,5.576
31/07/2001,5.246,5.256,5.392,5.618,5.735,5.773,5.782,5.781,5.773,5.766,5.759,5.745,5.653,5.506,5.262
31/08/2001,4.903588147,4.881231995,4.908997099,5.22283288,5.37412746,5.444499519,5.46817678,5.482056597,5.491045777,5.489072206,5.481335146,5.480122672,5.382566065,5.220469042,4.947100482
30/09/2001,4.500958375,4.429280507,4.411762639,4.840276567,5.088524626,5.226167754,5.313282892,5.375274558,5.421867774,5.452980235,5.479182045,5.493942765,5.463853155,5.33468587,5.082928887
31/10/2001,4.199612677,4.135665975,4.11299471,4.496996563,4.774303979,4.9338097,5.015094435,5.06562645,5.100852423,5.125816508,5.134178332,5.137031305,5.098845225,4.976134309,4.735381699
30/11/2001,4.003647113,3.992250137,4.116674248,4.673748735,4.961982939,5.098362982,5.15735083,5.179866343,5.181067688,5.177626895,5.16885119,5.160543409,5.088116476,4.919645083,4.606136357
31/12/2001,4.085316652,4.094937892,4.412453512,5.103160015,5.413886267,5.521645943,5.536703042,5.531398344,5.521619399,5.506843938,5.492576005,5.47863501,5.328280865,5.126545336,4.771494367
31/01/2002,4.039488714,4.140658301,4.478214277,5.03125902,5.243349338,5.305954759,5.306301747,5.297097615,5.283123244,5.269643575,5.256430337,5.249557075,5.128477776,4.958313216,4.619724246
28/02/2002,4.038362997,4.141171849,4.410061397,4.936928535,5.149309648,5.25460676,5.292732046,5.310627332,5.318302076,5.321326219,5.325006709,5.322941267,5.255452315,5.084018692,4.762204554
31/03/2002,4.159689299,4.34452338,4.735315979,5.292933728,5.487626154,5.560802698,5.582725921,5.578410374,5.569628686,5.561486612,5.559885331,5.558610997,5.493571719,5.342601075,5.018468976
30/04/2002,4.129269619,4.262672987,4.597515814,5.089601809,5.355735092,5.419477321,5.496233788,5.502353671,5.504186108,5.501097824,5.480387585,5.478649066,5.471702971,5.339366847,5.03818036
31/05/2002,4.163814286,4.366981293,4.729852505,5.191405065,5.371569208,5.456222128,5.494991538,5.507476932,5.515840796,5.52509236,5.535012694,5.539180468,5.531427377,5.435020119,5.192450591
30/06/2002,4.117974381,4.277437739,4.564785958,5.02449803,5.210015869,5.289425833,5.31741769,5.330206502,5.338804274,5.342301432,5.346322566,5.350781124,5.318078078,5.188121723,4.900946521
31/07/2002,3.981792963,4.032782867,4.203079962,4.52277091,4.798130639,4.968378516,5.065972736,5.127246441,5.168066428,5.204411258,5.230526855,5.2451439,5.262408666,5.17730504,4.944168093
31/08/2002,3.988589981,3.986389281,4.034189743,4.377459608,4.615666501,4.748300362,4.824771571,4.875309252,4.911352183,4.942816312,4.969310591,4.990534709,4.989749654,4.894090436,4.648816185
30/09/2002,3.921326059,3.898633963,3.875031407,4.04841712,4.251728522,4.400176662,4.504698129,4.589022658,4.658448686,4.718071864,4.773376817,4.823773819,4.91254239,4.837881556,4.640745193
31/10/2002,3.930534539,3.905461963,3.901636535,4.13284539,4.351912302,4.511456628,4.625882871,4.715114548,4.783850712,4.849404163,4.904794769,4.949077023,5.031200569,4.970407514,4.733870401
30/11/2002,4.011358295,4.045713611,4.181688646,4.464339336,4.63095596,4.727547941,4.799636922,4.851011732,4.89334529,4.931076022,4.963808947,4.997460592,5.073786014,5.031910416,4.820892514
31/12/2002,4.001792662,3.950606736,3.916061519,4.087551656,4.269342467,4.403422821,4.497705049,4.576512664,4.640579548,4.69468457,4.73803733,4.770877591,4.869384041,4.884886819,4.728465354
31/01/2003,3.94207769,3.88764352,3.827956726,3.908393285,4.055958272,4.185001812,4.289530681,4.378832754,4.454391486,4.514263745,4.569465728,4.613782815,4.709655444,4.687659411,4.553814037
28/02/2003,3.664216331,3.565251181,3.472184091,3.509473123,3.713133026,3.904329977,4.050675537,4.171381372,4.279443655,4.372629965,4.455925245,4.522877613,4.715658633,4.757879674,4.663243253
31/03/2003,3.640228474,3.563369339,3.506505705,3.649776435,3.878535592,4.047455386,4.172951164,4.284037287,4.380762399,4.468248782,4.545334673,4.607194483,4.782161549,4.834001028,4.747305722
30/04/2003,3.605398433,3.530522708,3.498230672,3.674263719,3.903256886,4.084190419,4.22455918,4.335461705,4.432016836,4.513088668,4.585210794,4.640691823,4.829844337,4.880925112,4.810652642
31/05/2003,3.611691875,3.520690648,3.44625984,3.575644665,3.72273903,3.851274676,3.955024149,4.049601837,4.135835693,4.218129634,4.290017595,4.351783695,4.560387383,4.640708874,4.604968542
30/06/2003,3.6251944,3.535188724,3.49684981,3.614841434,3.767075233,3.884506529,3.994403436,4.095091321,4.1866212,4.274386215,4.351643084,4.419674322,4.647336127,4.764081327,4.801034741
31/07/2003,3.426351416,3.425877602,3.49765669,3.926961576,4.165650028,4.302902074,4.405502918,4.483614009,4.557718399,4.628786958,4.689599126,4.739816894,4.913337962,4.989971422,5.00772674
31/08/2003,3.615025581,3.666531089,3.899956136,4.316881763,4.508019056,4.593054778,4.653540735,4.693867993,4.724739023,4.750850588,4.777684716,4.799386831,4.86504857,4.870265882,4.84113539
30/09/2003,3.708001448,3.790602923,3.95350056,4.19350409,4.364396723,4.477531406,4.549573933,4.606874465,4.654422702,4.691696418,4.723895653,4.751340591,4.821697953,4.840325773,4.788802614
31/10/2003,3.918978014,4.078539484,4.387452599,4.817957955,5.014011261,5.104094334,5.142763104,5.161070477,5.163772028,5.161275432,5.159258223,5.157661384,5.106600937,5.039927321,4.84474259
30/11/2003,3.956186336,4.15945122,4.481531839,4.850243645,5.031330189,5.121911685,5.171757591,5.201251699,5.215321696,5.224335082,5.227905297,5.225823702,5.179063048,5.088467398,4.861203267
31/12/2003,4.01758836,4.127751425,4.336857549,4.614803491,4.771811694,4.853669795,4.898804671,4.929090146,4.949143324,4.964079303,4.973932458,4.978089552,4.957272493,4.903250485,4.732970695
31/01/2004,4.124046409,4.24915441,4.475516005,4.743548443,4.899899257,4.98082125,5.020588965,5.050722295,5.071012372,5.086239729,5.102008987,5.112299768,5.08440655,4.999975897,4.772227149
29/02/2004,4.18390664,4.278921996,4.444440813,4.632963126,4.766924959,4.848537488,4.891487846,4.921911681,4.945233518,4.9664216,4.98217667,4.992438469,4.999996227,4.973238786,4.800350362
31/03/2004,4.351620635,4.476074575,4.645410437,4.78850409,4.873313053,4.929618201,4.962741948,4.98578351,5.003914019,5.016645316,5.030137568,5.041010157,5.024825432,4.974383822,4.785991158
30/04/2004,4.409784675,4.548283169,4.767040754,4.966142375,5.077214497,5.148081244,5.186029195,5.211358538,5.223218672,5.230097879,5.234397072,5.239093601,5.193215301,5.125692796,4.921249683
31/05/2004,4.62796385,4.810491765,5.088321031,5.325057081,5.41422973,5.453002892,5.469807815,5.476266144,5.474628186,5.467436602,5.460463907,5.450483046,5.352609571,5.241108202,4.984995779
30/06/2004,4.809577601,4.97168694,5.146515462,5.240709986,5.310739799,5.356990294,5.379737924,5.389319748,5.390820953,5.389644439,5.385777548,5.46675163,5.362264778,5.246817232,4.974107807
31/07/2004,4.900628261,5.045142528,5.235365778,5.333155132,5.401450202,5.431299347,5.440651912,5.439402669,5.429846977,5.417482353,5.402074438,5.38343863,5.272906505,5.15348947,4.887105762
31/08/2004,4.932286772,5.014310216,5.0954487,5.10773958,5.156308239,5.192206684,5.221206532,5.239571541,5.244122854,5.243081142,5.239233572,5.235540287,5.158069598,5.050317758,4.797756201
30/09/2004,4.888964596,4.935748507,4.977777156,4.992747697,5.0234428,5.049322841,5.067595132,5.08628447,5.099688891,5.110401028,5.115573995,5.117813504,5.055261821,4.957684539,4.721794576
31/10/2004,4.864663278,4.892411252,4.898581989,4.879276458,4.910364025,4.93895378,4.960023329,4.978722477,4.99200095,5.00289169,5.008019814,5.010273978,4.958274975,4.871717157,4.661124574
30/11/2004,4.830233432,4.828796328,4.780758636,4.751762855,4.765032154,4.783325722,4.802074175,4.820995838,4.837396216,4.848237436,4.853368974,4.858783511,4.823073792,4.751033529,4.549792796
31/12/2004,4.855989221,4.856251623,4.813230502,4.773434525,4.781626773,4.789640515,4.797733044,4.803144888,4.80293369,4.802821454,4.802718161,4.79959119,4.763589491,4.697004033,4.523016167
31/01/2005,4.838845731,4.8399206,4.849250082,4.82044686,4.818200583,4.818275476,4.829174134,4.840215208,4.851322719,4.856744053,4.859346957,4.85591652,4.812577408,4.749261357,4.585631209
28/02/2005,4.926071667,4.994976939,5.048520297,5.061262231,5.03784209,5.014344785,5.003900128,4.996059654,4.993689819,4.982455242,4.973984726,4.962324718,4.877520093,4.778696957,4.5531955
31/03/2005,4.952475779,4.975321557,4.995025291,4.979436488,4.971925339,4.964210124,4.959029711,4.956492297,4.953820574,4.948240379,4.939547493,4.930710531,4.88423481,4.814900172,4.652536899
30/04/2005,4.908604071,4.902629892,4.86812245,4.819498956,4.812366026,4.80753529,4.807858897,4.808084439,4.808199712,4.805454421,4.802620515,4.796692309,4.758687005,4.696352334,4.551087787
31/05/2005,4.837401859,4.798916267,4.685973065,4.537319664,4.518752975,4.532870755,4.552259152,4.571590738,4.582587109,4.590896907,4.596332668,4.595961102,4.597569328,4.568086759,4.482394594
30/06/2005,4.722588834,4.619102537,4.436371522,4.308553762,4.312204268,4.328711554,4.353080581,4.377595829,4.399332023,4.415991485,4.42702489,4.432215942,4.428938179,4.399208579,4.313930175
31/07/2005,4.594617533,4.495565779,4.386551314,4.395940747,4.439536535,4.467983769,4.496862192,4.52624076,4.550346683,4.569456819,4.582992098,4.587803164,4.586156771,4.544497851,4.429485792
31/08/2005,4.563144577,4.497909216,4.399899052,4.345103404,4.348330699,4.351363337,4.364904456,4.383998439,4.400430172,4.411333173,4.416715925,4.419198091,4.413739079,4.391845278,4.314755437
30/09/2005,4.573671807,4.517736324,4.43785953,4.429816426,4.450495974,4.466131066,4.487306441,4.511533487,4.530368213,4.544023219,4.551997849,4.554159989,4.525050763,4.468336582,4.322005702
31/10/2005,4.580248458,4.558935081,4.541542853,4.585957905,4.61614675,4.628595606,4.636233855,4.6413223,4.643691304,4.643335704,4.637148369,4.627945606,4.5676187,4.485863523,4.314489837
30/11/2005,4.591155183,4.570624927,4.554681496,4.613335787,4.62536272,4.619781348,4.608840336,4.597861018,4.583998905,4.570007877,4.552843618,4.532425308,4.432196281,4.341710715,4.18388269
